arrondissement;superficie
Ahuntsic-Cartierville;24.2
Anjou;13.7
Baie-D'Urfé;6.0
Beaconsfield;11
Boucherville;80.92
Côte-des-Neiges - Notre-Dame-de-Grâce;21.4
Côte-Saint-Luc;6.9
Dollard-des-Ormeaux;15.2
Dorval;20.9
Kirkland;9.6
L'Île-Bizard-Sainte-Geneviève;23.6
Lachine;17.7
LaSalle;16.3
Laval;266.8
Le Plateau-Mont-Royal;8.1
Le Sud-Ouest;15.7
Longueuil;115.6
Mercier - Hochelaga-Maisonneuve;25.4
Mont-Royal;7.6
Montréal-Est;12.5
Montréal-Nord;11.1
Montréal-Ouest;1.4
Outremont;3.9
Pierrefonds-Roxboro;27.1
Pointe-Claire;18.8
Rivière-des-Prairies - Pointe-aux-Trembles;42.3
Rosemont - La Petite-Patrie;15.9
Saint-Laurent;42.8
Saint-Léonard;13.5
Sainte-Anne-de-Bellevue;10.6
Sainte-Julie;48.49
Senneville;7.5
Terrebonne;156
Verdun;9.7
Ville-Marie;16.5
Villeray—Saint-Michel—Parc-Extension;16.5
Westmount;4
